Plant ID,NERC Region,Quantity,Elec_Quantity,MMBtuPer_Unit,Tot_MMBtu,Elec_MMBtu,Netgen,Nameplate Capacity (MW),Operating Time,Gross Load (MW-h),Steam Load (1000lb),SO2 (tons),Avg. NOx Rate (lb/MMBtu),NOx (tons),CO2 (short tons),Heat Input (MMBtu),EPA Region
568,NPCC,0.0,0.0,0.0,0.0,0.0,-2100.0,418.6,0.0,,,,,,,,1.0
581,,,,,,,,,1.45,20.4,,,1.2005,0.217,,361.1,1.0
589,NPCC,37722.0,37722.0,10.523,345423.0,345423.0,23969.0,59.5,550.25,27020.25,,0.11,0.0674,12.891,38766.825,370445.275,1.0
591,,,,,,,,,0.0,,,,,,,,3.0
592,,,,,,,,,0.9,5.4,,,0.306,0.012,,81.0,3.0
593,RFC,425625.0,425625.0,13.221,446075.0,446075.0,38173.0,710.3,368.49,42184.26,,1.638,0.1566,16.275,25709.163,431918.123,3.0
594,RFC,4049.0,4049.0,37.546,82413.0,82413.0,2508.0,464.1,52.87,6315.65,,15.814,0.0947,3.504,6549.437,63830.687,3.0
597,,,,,,,,,0.0,,,,,,,,3.0
599,,,,,,,,,0.0,,,,,,,,3.0
602,RFC,38226.0,38226.0,31.73,937432.0,937432.0,79192.0,1370.0,315.79,89735.0,,40.358,0.0746,33.102,91506.709,891883.633,3.0
607,WECC,234952.0,234952.0,1.085,254923.0,254923.0,21466.0,376.0,215.82,11146.93,,0.103,0.0496,1.004,6615.114,111298.942,10.0
609,FRCC,3388832.0,3388832.0,6.94,3468718.0,3468718.0,517882.005,1295.0,1491.35,528786.42,,1.022,0.0272,12.997,202142.632,3399164.205,4.0
612,FRCC,5660227.0,5660227.0,7.823,5791506.0,5791506.0,797366.0,2827.5,3833.87,827873.22,,1.747,0.2422,76.742,342372.463,5760866.768,4.0
613,FRCC,2279213.0,2279213.0,7.682,2327102.0,2327102.0,267039.0,1863.2,2156.71,294166.66,,0.694,17.0998,130.076,137597.0,2321190.512,4.0
617,FRCC,4424106.0,4424106.0,7.58,4517129.0,4517129.0,671478.0,1762.4,1901.01,685250.79,,1.318,7.7471,16.331,261025.814,4392476.522,4.0
619,FRCC,3178001.0,3178001.0,6.938,3271799.0,3271799.0,482406.998,1295.0,1410.22,491782.88,,0.976,0.036,13.809,191130.146,3203926.599,4.0
620,FRCC,6493472.0,6493472.0,1.023,6642822.0,6642822.0,896863.0,2377.8,4698.8,870608.88,,2.01,0.2803,106.433,398074.086,6698395.448,4.0
621,FRCC,4080297.0,4080297.0,8.267,16811460.0,16811460.0,1775310.0,3665.2,3063.72,589949.37,,1.914,0.1181,38.905,245740.963,4104430.109,4.0
624,,,,,,,,,13.84,298.87,,,0.6301,0.761,,4933.57,4.0
627,FRCC,2444.0,2444.0,5.712,13960.0,13960.0,953.0,226.8,56.07,975.26,,,5.4253,4.964,,14145.919,4.0
628,FRCC,328056.0,328056.0,28.376,7350429.0,7350429.0,652235.996,2442.7,2546.07,725545.46,,1078.717,1.0528,590.457,766552.134,7471278.615,4.0
630,,,,,,,,,95.99,2414.7,,,1.5048,9.594,,42810.523,4.0
634,FRCC,4511295.0,4511295.0,7.75,4593222.0,4593222.0,410033.0,1475.6,2949.52,426107.5,,1.358,1.7038,80.824,268120.064,4590204.529,4.0
638,FRCC,573064.0,573064.0,7.859,586014.0,586014.0,44556.0,330.6,1659.6,47621.09,,0.163,2.6762,80.609,32230.8,636791.338,4.0
641,SERC,260510.0,260510.0,29.918,2284608.0,2284608.0,194613.001,1135.1,1106.25,230415.5,,60.774,-7.8152,99.442,253755.749,2584188.775,4.0
643,SERC,1664376.0,1664376.0,7.842,1701757.0,1701757.0,230599.0,661.5,955.69,236946.45,,0.084,0.5436,29.554,99846.663,1680442.08,4.0
645,FRCC,338152.0,338152.0,25.688,6870626.0,6870626.0,647714.996,1884.5,1857.5,700125.83,,703.75,0.4472,332.47,776625.21,7583436.943,4.0
649,SERC,0.0,0.0,0.0,17642280.0,17642280.0,1686965.0,2320.0,,,,,,,,,
663,FRCC,620461.0,620461.0,27.093,1233008.0,1233008.0,101402.0,471.0,1499.75,116234.5,,46.334,0.3048,74.84,106897.55,1186075.675,4.0
664,FRCC,0.0,0.0,0.0,0.0,0.0,0.0,146.1,0.0,,,,,,,,4.0
666,FRCC,24921.0,24921.0,1.046,26067.0,26067.0,1977.0,370.0,18.39,2348.83,,0.007,0.1247,0.5,1402.489,23598.619,4.0
667,FRCC,2579444.0,2579444.0,57.418,5937113.0,5937113.0,608508.0,1407.1,2195.82,654611.06,,301.781,1.8107,382.373,573748.78,6596944.953,4.0
673,,,,,,,,,14.5,58.5,,0.0,0.2064,0.161,63.975,1075.025,4.0
675,,,,,,,,,60.25,3033.66,,0.013,0.0357,0.779,2518.126,42372.382,4.0
676,FRCC,1495638.0,1495638.0,32.284,3024924.0,3024924.0,333277.005,890.4,1541.48,283050.2,,134.093,0.2503,147.539,231630.353,2829013.931,4.0
682,WECC,0.0,0.0,0.0,470386.0,470386.0,50476.0,139.5,,,,,,,,,
683,FRCC,10870.0,10870.0,6.824,11141.0,11141.0,482.0,342.8,15.75,675.0,,0.003,0.123,0.32,625.65,10526.5,4.0
688,FRCC,1542344.0,1542344.0,3.066,1576276.0,1576276.0,180195.0,696.4,2268.49,186177.26,,0.474,0.9427,36.021,93909.344,1580242.449,4.0
689,FRCC,857.0,857.0,1.021,875.0,875.0,-1414.0,277.0,0.0,,,,,,,,4.0
702,SERC,0.0,0.0,0.0,276299.0,276299.0,29649.0,173.0,,,,,,,,,
703,SERC,598843.0,598843.0,30.106,14526419.0,14526419.0,1513901.968,3498.6,2655.25,1630218.5,,830.772,0.2555,485.792,1607836.35,15670909.475,4.0
708,SERC,0.0,0.0,0.0,0.0,0.0,-5056.0,953.0,0.0,,,,,,,,4.0
710,SERC,10829337.0,10829337.0,3.093,11175874.0,11175874.0,1591016.0,2603.6,4219.13,1607896.93,,3.393,2.8582,52.011,671903.31,11306337.233,4.0
715,SERC,3488.0,3488.0,11.634,20290.0,20290.0,1272.0,500.6,49.0,1536.0,,5.926,8.3995,14.22,,23699.5,4.0
727,SERC,0.0,0.0,0.0,0.0,0.0,-176.0,246.8,0.0,,,,,,,,4.0
728,SERC,482517.0,482517.0,1.028,496027.0,496027.0,40073.0,807.4,541.94,46354.04,,0.151,0.2509,32.275,29883.724,502867.396,4.0
733,SERC,0.0,0.0,0.0,0.0,0.0,0.0,18.5,,,,,,,,,
754,SERC,0.0,0.0,0.0,250513.0,250513.0,26882.0,420.0,,,,,,,,,
759,SERC,0.0,0.0,0.0,166298.0,166298.0,17845.0,131.2,,,,,,,,,
760,SERC,0.0,0.0,0.0,0.0,0.0,0.0,86.6,,,,,,,,,
761,SERC,0.0,0.0,0.0,269282.0,269282.0,28896.0,168.0,,,,,,,,,
762,,,,,,,,,25.56,875.51,,0.002,0.1624,0.349,507.577,8537.363,6.0
765,HICC,364314.0,364314.0,6.312,2299550.0,2299550.0,219548.0,609.7,,,,,,,,,
766,HICC,125378.0,125378.0,12.032,787129.0,787129.0,67110.0,474.6,,,,,,,,,
